Subject,Condition,Highest_nBack,RPM,BEAST,Grip_Strength,nodule_number,Order,Used,Total_Cores_Used,Cores_Used,end_mass,maxlength,maxwidth,maxthickness,edge_angle_goniometer,edge_angle_calliper,edge_angle_degree,start_mass,Proportion_Mass_Removed
13,0,5,6,0.2278,51.7,186,3,1,9, , ,153.78,95.34,51.65,60,1.09,39.93554079,682.9, 
13,0,4,8,0.0758,25.9,76,4,1,9, , ,116.79,91.44,69.44,92,2.4,77.31961651,772.4, 
15,0,4,8,0.0758,25.9,106, ,0,2, , ,128.36,106.24,60.22,72,2.1,69.9840404,783.7, 
15,0,4,8,0.0758,25.9,113,2,1,2,2,328.4,130.2,107.28,86.12,56,1.87,63.87332533,1158.6,0.716554462
15,0,4,8,0.0758,25.9,128, ,0,2, , ,145.03,96.15,77.24,71,2.1,69.9840404,926, 
15,0,4,8,0.0758,25.9,131,1,1,2, , ,148.65,111.74,65.7,80,2,67.38013505,1314.9, 
15,0,4,8,0.0758,25.9,160, ,0,2, , ,150.76,103.08,89.08,86,2.5,79.61114218,1021, 
15,0,4,8,0.0758,25.9,163, ,0,2, , ,165.78,131.81,73.88,78,1.32,47.49898899,1163.6, 
15,0,4,8,0.0758,25.9,184, ,0,2, , ,153.76,90.56,67.24,73,1.81,62.20796174,950.6, 
15,0,4,8,0.0758,25.9,205, ,0,2, , ,143.51,97,49.25,71,1.8,61.92751306,718.3, 
16,0,5,9,0,57.3,79,6,1,9, , ,114.12,109.28,80.51,58,1.7,59.07756452,693.3, 
16,0,5,9,0,57.3,123,2,1,9, , ,129.04,70.28,53.71,82,1.9,64.694887,558.3, 
16,0,5,9,0,57.3,135,8,1,9, , ,139.27,141.52,73.41,71,2.2,72.50767547,1373.8, 
16,0,5,9,0,57.3,139,5,1,9, , ,131.15,79.94,73.62,91,2.3,74.95235912,1203.8, 
16,0,5,9,0,57.3,147,1,1,9, , ,149,104.61,77.12,78,1.99,67.115286,946, 
16,0,5,9,0,57.3,166,9,1,9,9,380.1,178.37,125.79,88.71,64,1.53,54.04316318,1563.7,0.756922683
16,0,5,9,0,57.3,171,4,1,9, , ,135.25,122.41,87.24,67,2.4,77.31961651,1229.6, 
16,0,5,9,0,57.3,196,7,1,9, , ,141.79,99.2,70.23,56,1.7,59.07756452,1083.2, 
16,0,5,9,0,57.3,208,3,1,9, , ,156.87,96.67,54.96,71,1.38,49.40486046,772.5, 
17,1,4,9,0,32,82,1,1,9, , ,113.1,118.33,73.32,71,2.04,68.43140426,588.7, 
17,1,4,9,0,32,126,2,1,9, , ,118.24,99.5,58.29,79,1.8,61.92751306,653, 
17,1,4,9,0,32,138,9,1,9,9, ,166.45,136.3,79.51,83,2.1,69.9840404,1730.9,0.98
17,1,4,9,0,32,155,5,1,9, , ,143.69,97.4,70.58,70,1.83,62.76638211,897.5, 
17,1,4,9,0,32,170,3,1,9, , ,131.71,105.06,76.8,85,2.1,69.9840404,780.4, 
17,1,4,9,0,32,177,6,1,9, , ,156.76,102.97,88.07,84,2.4,77.31961651,1197.1, 
17,1,4,9,0,32,178,7,1,9, , ,169.31,102.97,62.34,74,2.26,73.9838664,1227.6, 
17,1,4,9,0,32,197,8,1,9, , ,148.6,88.73,84.1,77,1.49,52.82411761,1130, 
17,1,4,9,0,32,218,4,1,9, , ,134.5,113.58,54.9,67,1.85,63.32150219,810, 
18,1,3,4,0.4466,20,109,7,1,8, , ,130.43,91.8,68.55,81,2.6,81.82876644,684.3,0.67
18,1,3,4,0.4466,20,134,2,1,8, , ,140.33,88.76,64.22,70,2.1,69.9840404,561.9, 
18,1,3,4,0.4466,20,144,4,1,8, , ,153.77,137.47,81.51,75,2.27,74.22715677,1110.3, 
18,1,3,4,0.4466,20,161,1,1,8, , ,142.27,113.86,83.84,65,1.61,56.44194511,1000.1, 
18,1,3,4,0.4466,20,180, ,0,8, , ,170.83,124.69,90.94,69,1.69,58.78802191,1526.9, 
18,1,3,4,0.4466,20,183,6,1,8, , ,147.28,125.76,102.28,79,2.17,71.75893919,1463.5, 
18,1,3,4,0.4466,20,198,8,1,8,8,981,136.74,101.2,72.97,86,2.33,75.67059196,1149.8, 
18,1,3,4,0.4466,20,200,5,1,8, , ,141.13,130.11,69.28,69,1.6,56.14497387,683.6, 
18,1,3,4,0.4466,20,219,3,1,8, , ,150.34,93.32,52.28,82,2.23,73.24930472,805.8, 
19,1,4,9,0.4672,49.2,122,1,1,9, , ,125.33,80.07,55.99,75,2.6,81.82876644,593.7, 
19,1,4,9,0.4672,49.2,141,6,1,9, , ,148.25,93.59,70.17,80,2.41,77.55214776,725.2, 
19,1,4,9,0.4672,49.2,150,8,1,9, , ,153.78,122.91,87.59,60,1.6,56.14497387,1293.5, 
19,1,4,9,0.4672,49.2,162,2,1,9, , ,147.94,109.47,55.42,83,2.59,81.61027511,913.3, 
19,1,4,9,0.4672,49.2,190,4,1,9, , ,170.18,102.25,61.03,62,2.1,69.9840404,1525.7, 
19,1,4,9,0.4672,49.2,191,9,1,9,9,142,144.6,117.52,81.41,62,2.2,72.50767547,1303.1,0.891029084
19,1,4,9,0.4672,49.2,203,5,1,9, , ,133.18,99.06,70.6,59,1.5,53.13010235,1100.4, 
19,1,4,9,0.4672,49.2,209,3,1,9, , ,139.57,108.61,60.97,84,2.6,81.82876644,838.9, 
19,1,4,9,0.4672,49.2,226,7,1,9, , ,176.98,74.09,56.51,77,2.01,67.64417043,782, 
20,1,5,6,0.0388,27.4,140,1,1,8, , ,118.37,94.61,77.08,70,2,69,861.7, 
20,1,5,6,0.0388,27.4,153,2,1,8, , ,139.6,99.04,61.65,79,2.24,73.49494191,678.5, 
20,1,5,6,0.0388,27.4,159,8,1,8,8, ,153.78,111.85,96.69,74,1.79,61.64623832,1617.9,0.78
